ID	RECEITA PREVISTA	PRECO MEDIO JAN	PRECO MEDIO FEV	PRECO MEDIO MAR
17157370	24990.0	475.48387096774223	598.0689655172414	541.9354838709679
30307822	53100.0	529.0322580645161	639.655172413793	449.99999999999966
32420036	9350.0	550.0000000000001	552.758620689655	550.0000000000001
30169499	6100.0	359.67741935483883	290.0	249.99999999999997
39026278	25690.0	427.0967741935484	356.2068965517242	300.0000000000001
16063974	20100.0	774.1935483870973	696.5517241379308	499.99999999999994
28438428	6420306.0	75059.80645161292	37426.13793103453	589.0
37685958	48600.0	2496.774193548388	2399.9999999999995	1267.7419354838714
38982987	38770.0	278.3870967741934	209.99999999999997	210.00000000000014
16108749	19000.0	499.99999999999994	500.0	499.99999999999994
30818474	128750.0	1848.3870967741925	1586.2068965517244	4051.6129032258086
29201856	19100.0	774.193548387097	803.4482758620687	700.0000000000002
5153438	22040.0	435.48387096774155	418.6206896551724	374.1935483870968
39527788	10200.0	600.0000000000002	600.0	600.0000000000002
31647674	123358.0	741.1612903225803	815.5172413793101	801.6129032258059
30579978	50400.0	799.9999999999994	800.0000000000003	799.9999999999994
37736504	12882.0	953.1935483870963	1104.7931034482758	676.4193548387099
3820822	6380688.0	591.8387096774194	7233.344827586207	100776.25806451606
39124376	11550.0	484.8387096774192	393.793103448276	379.99999999999983
459941	12170.0	816.7741935483876	750.0	650.0000000000006
22464618	75817.0	730.6451612903229	627.5862068965519	580.3225806451612
20871556	11200.0	369.6774193548385	358.03448275862064	285.1612903225807
33586450	17530.0	1400.0	1052.413793103448	465.48387096774206
38351280	17400.0	610.3225806451608	521.7241379310346	379.99999999999983
27605278	6204092.0	65826.61290322579	66957.10344827588	546.0000000000002
29010711	6720.0	611.2903225806456	604.8275862068967	499.99999999999994
37585364	92050.0	1411.2903225806451	950.0	550.0000000000001
37239575	2613843.0	56504.83870967743	17400.172413793087	439.0000000000002
7850567	81016.0	3991.0000000000036	3371.8620689655177	2098.225806451612
39253813	3583035.0	53316.80645161292	735.9655172413794	321.00000000000006
29680715	64490.0	2091.6129032258063	2000.0	1661.2903225806465
16754448	41893.0	1240.41935483871	1239.6551724137928	949.9999999999997
18396189	83880.0	1225.8064516129034	1122.7586206896556	849.9999999999995
16633066	42944.0	1297.0645161290329	836.137931034483	658.9999999999999
16399931	30919.0	806.4516129032263	777.5862068965514	425.8064516129029
17550537	15000.0	417.4193548387096	455.6896551724139	339.0
28600926	16530.0	220.32258064516128	289.31034482758616	131.93548387096772
39176295	9097034.0	43969.967741935514	7178.379310344828	96765.00000000003
21537168	17740.0	596.1290322580644	508.2758620689654	300.0000000000001
17148942	63000.0	600.0000000000002	600.0	600.0000000000002
30972766	65940.0	1133.8709677419354	1004.1379310344827	542.9032258064515
30129817	52977.0	1021.2903225806458	899.9999999999998	508.0645161290322
21311312	11250.0	922.5806451612897	811.0344827586207	490.0000000000001
18791856	39250.0	780.6451612903229	770.6896551724135	449.99999999999966
21602572	28240.0	517.4193548387096	414.4827586206899	319.9999999999999
26326737	677708.0	13007.51612903225	677.413793103448	331.9999999999999
21147318	41766.0	800.3870967741939	722.3103448275862	478.83870967741944
26254809	2614142.0	22444.74193548386	825.0	439.0000000000002
38895567	15640.0	506.45161290322545	493.44827586206907	379.99999999999983
22294290	32752.0	401.0322580645165	496.6206896551724	352.00000000000017
29780793	187100.0	1300.0000000000011	1299.9999999999995	1300.0000000000011
23687259	30290.0	656.451612903226	502.41379310344854	249.99999999999997
8287108	36869.0	838.7096774193545	749.9999999999998	422.58064516129
37916280	15500.0	719.3548387096777	612.0689655172413	499.99999999999994
19542318	774484.0	12951.774193548381	546.9310344827588	321.00000000000006
28198031	96100.0	2390.322580645163	2155.172413793104	1999.9999999999998
39809239	850.0	849.9999999999995	849.9999999999997	849.9999999999995
382936	57500.0	812.9032258064516	855.1724137931038	399.9999999999997
38570192	14215.0	541.2903225806456	549.6551724137933	399.9999999999997
16113422	23650.0	535.4838709677421	500.0	289.99999999999994
39814394	28000.0	799.9999999999994	800.0000000000003	799.9999999999994
21538493	20710.0	273.87096774193543	205.17241379310354	249.99999999999997
32100225	89850.0	650.0000000000006	649.9999999999998	650.0000000000006
16990304	41709.0	584.1935483870968	457.41379310344826	369.99999999999983
9682789	11700.0	538.7096774193548	533.1034482758622	249.99999999999997
22351752	0.0	1038.7096774193546	1025.862068965517	849.9999999999995
21657027	34070.0	1548.3870967741946	1250.0000000000005	650.0000000000006
36388732	107000.0	4806.451612903226	4965.517241379311	4258.064516129033
18176181	16263.0	698.3870967741939	629.206896551724	297.00000000000006
10654206	9100.0	700.0000000000002	700.0	700.0000000000002
31853617	7700.0	1320.0	1109.3103448275858	1100.0000000000002
11078324	54300.0	1364.5161290322592	1368.9655172413788	1300.0000000000011
25454572	21750.0	562.9032258064518	500.0	449.99999999999966
36388233	126600.0	4306.451612903225	4844.827586206896	3129.032258064518
30502211	12000.0	750.0000000000005	750.0	300.0000000000001
32385791	2042.0	792.2580645161296	662.5517241379309	389.0000000000002
16791403	88400.0	2067.7419354838694	1610.3448275862067	700.0000000000002
10923661	49300.0	696.7741935483874	500.0	350.0000000000001
16649483	25700.0	1619.3548387096785	1551.7241379310349	1258.0645161290324
39025957	108620.0	849.9999999999995	549.9999999999999	550.0000000000001
28907801	57000.0	1500.000000000001	1500.0	1500.000000000001
17710238	63680.0	2129.0322580645156	2093.103448275863	1756.4516129032259
28181700	56150.0	1379.6774193548388	1343.1034482758616	838.7096774193544
136432	0.0	701.612903225807	624.1379310344829	403.22580645161264
29052186	19500.0	1631.2903225806454	1512.4137931034481	1500.000000000001
16488493	45000.0	751.6129032258067	693.103448275862	416.1290322580642
15095526	5740.0	820.0000000000003	819.9999999999995	449.99999999999966
23996713	4900.0	608.0645161290324	462.06896551724134	399.9999999999997
38155574	358700.0	3909.67741935484	3948.275862068963	4958.064516129033
32540637	41340.0	1842.5806451612912	1631.3793103448274	1425.0000000000007
37250819	75350.0	941.6129032258068	796.2068965517244	409.3548387096775
10499398	48400.0	1229.0322580645163	1231.0344827586207	1025.8064516129032
31331548	44790.0	914.1935483870972	796.2068965517244	519.9999999999998
16584086	73000.0	1251.612903225807	1386.206896551724	1200.0000000000005
37943735	59850.0	491.9354838709677	500.0	451.6129032258064
33048099	120700.0	2032.2580645161277	1596.5517241379307	1138.7096774193549
16780611	22770.0	446.77419354838673	496.5517241379312	399.9999999999997
