ID	RECEITA PREVISTA	PRECO MEDIO JAN	PRECO MEDIO FEV	PRECO MEDIO MAR	DISPO JAN	DISPO FEV	DISPO MAR
39392716	3871514.0	851.13	959.76	31771.35	31	29	21
5153438	22040.0	435.48	418.62	374.19	19	20	31
21383140	79790.0	2249.35	2405.86	1690.0	31	29	0
16108749	19000.0	500.0	500.0	500.0	8	22	31
22434459	11053.0	514.23	397.59	177.74	28	29	31
28431519	9500.0	698.39	700.0	280.0	28	29	31
39527788	10200.0	600.0	600.0	600.0	28	29	31
28078291	66400.0	1474.19	1396.55	1100.0	16	24	31
8679731	76698.0	1648.71	1614.17	998.0	20	22	31
25477095	55850.0	603.06	636.21	403.23	0	0	30
28279162	28600.0	1251.61	1200.0	503.23	29	29	7
38460900	311280.0	4377.13	5188.0	5188.0	31	0	26
38351280	17400.0	610.32	521.72	380.0	24	22	31
39549549	4000.0	567.74	460.34	400.0	26	29	31
136432	0.0	701.61	624.14	403.23	31	29	31
20747958	178050.0	1891.94	1986.21	1650.0	3	12	31
31053156	49900.0	1125.81	1051.72	1000.0	15	20	31
11078324	53000.0	1364.52	1368.97	1300.0	11	29	31
22351752	0.0	1038.71	1025.86	850.0	31	29	31
36388732	107000.0	4806.45	4965.52	4258.06	25	29	31
31853617	7700.0	1320.0	1109.31	1100.0	28	29	31
30502211	12000.0	750.0	750.0	300.0	18	29	31
36388233	126600.0	4306.45	4844.83	3129.03	20	29	27
34889659	56864.0	494.52	409.93	328.0	0	8	31
28907801	57000.0	1500.0	1500.0	1500.0	11	29	31
16649483	25700.0	1619.35	1551.72	1258.06	19	29	31
20437118	27500.0	350.0	522.41	350.0	0	13	31
16348366	18200.0	1300.0	1300.0	1300.0	29	29	31
21813768	67848.0	437.9	399.0	399.0	6	0	0
39025957	108140.0	850.0	550.0	550.0	0	0	0
37496145	40281.0	781.55	714.38	475.0	26	29	31
18176181	16114.0	698.39	629.21	297.0	29	29	31
10923661	48800.0	696.77	500.0	350.0	22	1	0
30087408	179800.0	1258.06	1027.59	800.0	0	0	0
26157198	111650.0	2280.65	2517.24	1700.0	13	21	31
32385791	2042.0	792.26	662.55	389.0	31	29	31
16791403	88400.0	2067.74	1610.34	700.0	13	29	31
33369556	17337736.0	96748.0	96748.0	96748.0	0	0	0
34279134	286200.0	1800.0	1800.0	1800.0	0	0	0
34397404	82150.0	3382.26	3477.59	2629.03	29	20	31
16026473	6650.0	942.26	901.72	900.0	29	29	31
9095174	9000.0	750.0	650.0	500.0	25	29	31
38930182	4123840.0	6307.1	6508.97	35441.61	6	29	21
15444156	8400.0	903.55	720.69	660.0	25	29	31
2064487	27130.0	630.32	650.0	720.0	27	0	31
12094768	19950.0	2046.13	1605.17	1330.0	31	22	31
34283621	0.0	10193.55	10000.0	7212.9	31	29	31
27501630	42200.0	308.06	315.52	300.0	2	29	0
10050976	10570.0	1961.29	2006.9	1800.0	31	29	31
19245360	98820.0	748.39	720.69	613.55	0	0	0
10707436	7040.0	785.16	800.0	160.0	28	29	31
39770341	16950.0	3390.0	3390.0	3390.0	26	29	31
6692604	62400.0	600.0	600.0	600.0	0	13	31
36551746	0.0	5983.61	5778.62	5412.0	31	29	31
22528422	54720.0	926.77	922.41	490.0	0	16	31
25454572	21750.0	562.9	500.0	450.0	9	29	31
30562586	9870.0	653.23	667.24	553.23	21	29	31
22613037	44430.0	2338.71	2300.0	2412.9	28	21	31
34994845	165300.0	4838.71	5379.31	4258.06	19	28	31
32540637	41460.0	1846.45	1631.38	1425.0	27	29	31
2308539	42500.0	2429.03	2243.45	1929.03	26	29	31
23996713	4900.0	608.06	462.07	400.0	28	29	31
22609935	16380.0	807.1	821.38	780.0	30	29	31
7703961	136530.0	2027.42	2156.9	1500.0	27	29	0
15095526	5740.0	820.0	820.0	450.0	28	29	31
31961634	16000.0	1064.52	1000.0	500.0	26	29	31
29052186	19500.0	1631.29	1512.41	1500.0	21	29	31
17710238	63680.0	2129.03	2093.1	1756.45	25	22	31
38155574	358700.0	3909.68	3948.28	4958.06	25	29	1
37250819	74860.0	941.61	796.21	409.35	3	0	7
30292882	39500.0	880.65	665.52	500.0	0	23	31
28181700	55300.0	1379.68	1343.1	838.71	31	29	1
37943735	59850.0	491.94	500.0	451.61	0	0	0
29777399	5100.0	850.0	850.0	850.0	31	29	31
16805238	173170.0	4215.81	3493.45	2190.0	11	28	16
32038412	81800.0	1270.97	1065.52	864.52	21	19	21
31331548	44340.0	914.19	796.21	520.0	19	14	31
20674843	136400.0	2241.94	2475.86	2032.26	23	29	31
381175	70750.0	1245.16	1293.1	800.0	10	14	31
29591237	55530.0	2410.65	2400.0	2400.0	24	23	31
39772082	357000.0	3000.0	3000.0	3000.0	25	29	0
10499398	48400.0	1229.03	1231.03	1025.81	17	19	31
30744349	20850.0	616.13	641.38	500.0	6	29	31
16488493	44400.0	751.61	693.1	416.13	31	1	0
