ID	RECEITA PREVISTA	PRECO MEDIO JAN	PRECO MEDIO FEV	PRECO MEDIO MAR	DISPO JAN	DISPO FEV	DISPO MAR
14614285	169255.0	2399.9999999999995	2790.068965517241	986.1612903225807	5	22	31
24445996	13850.0	638.7096774193551	751.7241379310344	499.99999999999994	27	29	31
30169499	6100.0	359.67741935483883	290.0	249.99999999999997	25	18	31
30818474	127890.0	1848.3870967741925	1586.2068965517244	4051.6129032258086	14	13	26
21692678	3500.0	708.0645161290329	541.3793103448276	350.0000000000001	31	29	21
39026278	25390.0	427.0967741935484	356.2068965517242	300.0000000000001	2	11	31
26326919	776808.0	22269.032258064522	525.1724137931033	331.9999999999999	24	29	31
31647674	122558.0	741.1612903225803	815.5172413793101	801.6129032258059	5	4	1
29458216	64689.0	740.5806451612908	599.0	599.0000000000001	31	1	0
2220886	9950.0	616.1290322580647	572.068965517241	337.0967741935484	26	29	31
29201856	19100.0	774.193548387097	803.4482758620687	700.0000000000002	30	29	31
17157370	24540.0	475.48387096774223	598.0689655172414	541.9354838709679	16	29	31
16113422	23400.0	535.4838709677421	500.0	289.99999999999994	22	29	31
16122808	7500.0	750.0000000000005	750.0	399.9999999999997	27	29	31
31704381	1298.0	612.1935483870966	573.5172413793107	571.3548387096773	31	29	31
29608999	15300.0	377.74193548387115	385.8620689655171	300.0000000000001	7	25	31
37250819	74860.0	941.6129032258068	796.2068965517244	409.3548387096775	3	0	7
15095526	5740.0	820.0000000000003	819.9999999999995	449.99999999999966	28	29	31
31961634	16000.0	1064.516129032258	1000.0	499.99999999999994	26	29	31
29052186	19500.0	1631.2903225806454	1512.4137931034481	1500.000000000001	21	29	31
28181700	55300.0	1379.6774193548388	1343.1034482758616	838.7096774193544	31	29	1
31331548	44340.0	914.1935483870972	796.2068965517244	519.9999999999998	19	14	31
38155574	358700.0	3909.67741935484	3948.275862068963	4958.064516129033	25	29	1
29777399	5100.0	849.9999999999995	849.9999999999997	849.9999999999995	31	29	31
30292882	39500.0	880.6451612903219	665.5172413793105	499.99999999999994	0	23	31
